Neuron,NonNeuronal
Frmpd4,Hsdl2
Fsip1,Hspa2
Fstl4,Htra1
Fut7,Hyal1
Fxyd2,Id3
Fxyd7,Id4
Gabra1,Idi1
Gabra5,Ift122
Gabrb2,Ift140
Gabrg2,Igdcc4
Gabrg3,Igf2bp3
Gad1,Igfbp2
Gad2,Igfbp5
Galnt9,Igsf1
Galntl6,Ikbip
Galr1,Il15ra
Galr2,Il17rd
Gap43,Il18
Gar1,Il33
Garnl3,Il6st
Castor2,Immt
Gbx2,Impa2
Gca,Impg2
Gcgr,Inca1
Gda,Ino80d
Gdap1,Inpp5j
Gdap1l1,Insig1
Gdf5,Intu
Gdi1,Iqcd
Gdnf,Iqck
Gdpd1,Iqub
Gemin7,Irs1
Gfra4,Irs2
Ghsr,Itga2
Gipc2,Itga6
Gipr,Itga7
Gjd2,Itih3
Glb1l2,Itih5
Glce,Itm2c
Gle1,Itpkb
Glis1,Itsn1
Glod5,Ivd
Glra2,Iyd
Glra3,Jak1
Gm10767,Jam2
Gm6104,Jun
Gnaq,Kalrn
Gnaz,Kank2
Gng2,Kbtbd11
Gng3,Kcnc4
Gnl3l,Kcne1l
Gnrh1,Kcnj10
Golga7b,Kcnn2
Gpc1,Kcnn3
Gpr101,9530068E07Rik
Gpr12,Kctd14
Adgra1,Kctd5
Gpr135,Kdm5d
Gpr139,Myorg
Gpr149,Kidins220
Gpr151,Kif18a
Gpr173,Kif1b
Gpr21,Kif1c
Gpr22,Kif24
Gpr26,Kirrel2
Gpr27,Klf15
Gpr52,Klf4
Gpr6,Klhdc8b
Gpr61,Klhl25
Adgrg2,Klri1
Gpr83,Krtap7-1
Gpr88,L2hgdh
Gprasp1,L3hypdh
Gprasp2,L3mbtl3
Gprin1,
Gprin3,
Gpsm1,Lama2
Gpx2-ps1,Lats1
Gramd1a,Lca5
Gramd1b,Lcat
Greb1l,Lclat1
Grem2,Ldoc1
Gria1,Lenep
Grid2ip,Leng8
Grin1,Leng9
Grin2a,P3h1
Grin2b,Lgals12
Grin2d,Lgals4
Grip2,Lgalsl
Grm1,Lgi4
Grm2,Lgr4
Grm7,Lgr6
Grm8,Lhcgr
Grpr,Lhfp
