Neuron,NonNeuronal
,Adcy3
,Adi1
,Ado
,Adora1
,Adra1d
,Adssl1
,Aebp1
,Afap1l2
,Agap1
,Agap2
,Ago3
,Agpat4
,Gpat3
,Etnppl
,Alas2
,Aldh18a1
,Aldh1a2
,Aldh1l2
,Aldh3b2
,Alx4
,Amd1
,Ampd3
,Ank1
,Ankfn1
,Ankrd28
,Sowaha
,Anks1b
,Anln
,Ano2
,Ano3
,Apba1
,Apbb1
,Aph1b
,Aph1c
,Aplp1
,Apod
,Apol11b
,Aqp3
,Arfgef3
,Arhgap31
,Arhgef10
,Arhgef10l
,Arhgef37
,Arl2
,Arl2bp
,Arsg
,Arsj
,Arxes1
,Asb13
,Asb18
,Ascl1
,Asns
,Aspa
,Aspdh
,Atg101
,Atp10b
,Atp1a3
,Atp2b3
,Atp6v0a2
,Atp7b
,Atrn
,B3galt5
,B3gat2
,B3gnt6
,B3gnt7
,Nmrk1
,Hrob
,Bace1
,Bbs7
,Bcar1
,Bcas1
,Begain
,Bfsp2
,Bglap
,Bglap2
,Bhlhb9
,Bmp4
,Bpgm
,Brca1
,Bves
,C1ql1
,C1ql2
,C1ql3
,C1qtnf2
,Car10
,Car14
,Cacna2d4
,Cacng4
,Cadm4
,Calb1
,Calcrl
,Camsap2
,Capn5
,Capn6
,Car10
,Car14
,Car2
,Carns1
,Caskin2
,Casr
,Ccdc13
,Ccdc167
,Ccl11
,Ccna2
,Ccnb1
,Ccnd1
,Cd70
,Cd9
,Cdc25c
,Cdc37l1
,Cdc42ep2
,Cdc7
,Cdca3
,Cdca8
,Cdh11
,Cdh6
,Cdk14
,Cdk18
,Cdo1
,Cdr2l
,Cdv3
,Cenpb
,Cenpk
,Cenpm
,Cenpn
,Cenpv
,Cers2
,Cetn2
,Cetn4
,Chadl
,Chaf1a
,Chd1
,Chdh
,Chn2
,Chpt1
,Chrm1
,Chrna4
,Chrne
,Chst11
,Chst3
,Chst5
,Chst8
,Chtf18
,Ckap2
,Ckap2l
,Cldn11
,Cldn14
,Clec3b
,Clgn
,Cmip
,Cmtm4
,Cmtm5
,Cnksr3
,Cnp
,Cntn1
,Cntn2
,Cntn4
,Cntn6
,Cntnap5b
,Cobl
,Col11a2
,Col12a1
,Col13a1
,Col1a1
,Col1a2
,Col20a1
,Col2a1
,Col3a1
,Col9a3
,Colec11
,Corin
,Cp
,Cplx1
,Cpox
,Cpz
,Crcp
,Creg2
,Cryab
,Csmd3
,Cspg4
,Cspg5
,Csrp1
,Ctnna3
,Ctnnal1
,Cyfip2
,Cygb
,Cyp2j12
,Cyp2j6
,Cyp4f41-ps
,Cys1
,D630045J12Rik
,D7Ertd443e
,Dapk2
,Brinp1
,Dbil5
,Dbndd2
,Dbpht2
,Dcaf12l1
,Dcaf12l2
,Dcn
,Dct
,Ddc
,Ddx25
,Ddx43
,Ddx59
,Dennd2a
,Derl3
,Gsdme
,Dgat1
,Dhcr24
,Dhrs13
,Dicer1
,Dlg1
,Dlgap5
,Dlk2
,Dll1
,Dll3
,Dmrta1
,Dnah10
,Dnah5
,Dnah7b
,Dnaic2
,Dnaja4
,Dnajb2
,Dnm1
,Dnm3
,Dock3
,Dock5
,Dock6
,Dock9
,Dohh
,Dph5
,Dpp10
,Dpp6
,Dpyd
,Dscc1
,Dtd1
,Dusp15
,Dusp9
,Dync2li1
,Dynll2
,E2f8
,Ect2
,Eda2r
,Eef1a2
,Efcab1
,Efemp1
,Efhd1
,Efnb3
,Efr3b
,Efs
,Ehd3
,Eif1b
,Elfn2
,Elovl4
,Elovl6
,Emb
,Eme1
,Emid1
,Col26a1
,Emilin3
,Eml1
,Endod1
,Eno2
,Enpp2
,Enpp6
,Epb41
,Epb41l1
,Epb41
,Epb41l3
,Epcam
,Epn2
,Selenoi
,Ermn
,Etnk2
,Etv1
,Evi5l
,Exo1
,Exog
,Wfdc18
,Extl1
,Extl2
,Fa2h
,Fah
,Fam114a1
,Fam122a
,Fam149a
,Fam163a
,Fam169a
,Fam177a
,Fam178b
,Fam180a
,Insyn2b
,Tafa4
,Calhm5
,Fam3c
,Tlcd3a
,Ccnq
,Brinp3
,Mindy1
,Tmem255a
,Tmem255b
,Miga1
,Fam89a
,Fanca
,Fancd2
,Far1
,Fbln7
,Fbn1
,Fbxo17
,Fbxo36
,Fbxo7
,Fchsd2
,Fem1b
,Fez1
,Fgf22
,Fhl2
,Fignl1
,Fip1l1
,Fkbp1a
,Fmnl2
,Fnta
,Fntb
,Foxm1
,Frmd4a
,Frmd5
,Frmd7
,Fryl
,Fsd1
,Fyn
,G0s2
,Gab1
,Gab2
,Gabra3
,Gale
,Galnt10
,Galnt13
,Galnt3
,Galnt6
,Galnt16
,Gamt
,Gap43
,Gas2
,Gbp11
,Gfod1
,Gfod2
,Gfra1
,Gfra2
,Ggct
,Gjb1
,Gjc3
,Glra4
,Glrb
,Gltp
,Nop53
,Gm7075
,Gmds
,Gna12
,Gnat1
,Gnb4
,Gne
,Gng12
,Gng13
,Gng8
,Gnptab
,Gnptg
,Gp1bb
,Gpatch11
,Gpc1
,Gpr158
,Gpr17
,Gpr37
,Gpr62
,Gpr75
,Gprc5b
,Gpt2
,Grb14
,Grhpr
,Gria3
,Grik3
,Grik4
,Grin3a
,Grxcr2
,Ppp1r17
,Gsn
,Gss
,Gstp1
,Gstp2
,Gstt1
,Gsx1
,Gsx2
,Gtf2h4
,Gucy2f
,Gypa
,Hapln2
,Hcn2
,Heatr3
,Hhatl
,Hif1an
,Hip1
,Hip1r
,H1f4
,H2ac8
,Hist1h2al
,H2bc4
,H2bc13
,H2bc22
,H4c3
,H4c8
,H4c9
,H2ac18
,H2ac20
,Hoxd1
,Hpcal4
,Hr
,Plaat1
,Hs3st1
,Hspa12a
,Htr5a
,Hypk
,Ibsp
,Cilk1
,Iffo1
,Ifit2
,Igf2
,Igf2bp2
,Igsf8
,Igsf9b
,Il17d
,Il17rb
,Il1rap
,Imp4
,Inf2
,Inhbc
,Inpp5b
,Inppl1
,Insc
,Iqcj
,Irs2
,Irx1
,Isg20
,Itga8
,Itgad
,Itgav
,Itgb4
,Itgb7
,Itgb8
,Itih2
,Itih5
,Itpr2
,Jam3
,Jmy
,Josd2
,Kank1
,Katnal1
,Kazn
,Kbtbd7
,Kcnd2
,Kcnh8
,Kcnip3
,Kcnj16
,Kcnk1
,Kcnk10
,Kcnmb4
,Kctd13
,Kctd15
,Kctd4
,Khdrbs2
,D630045J12Rik
,Kif13a
,Kif13b
,Kif18b
,Kif19a
,Kif2c
,Kif5a
,Kifc1
,Kl
,Klc3
,Klhdc4
,Klhl13
,Klk6
,Kndc1
,Kntc1
,Krt1
,Krt17
,
,
,Afg1l
,Lad1
,Larp6
,Cers2
,Lbh
,Dennd11
,Lcorl
,Ldb3
,Ldlr
,P3h4
,Lgi3
,Lgr5
,Lhfpl3
,Lig1
,Lims2
,Lingo3
,Lix1l
,Llph
,Lmcd1
,Lmnb1
,Lmo1
,Lnx1
,Lox
,Lpar3
,Adgrl3
,Lpo
,Lrfn2
,Lrrc17
,Lrrc42
,Lrrc4c
,Lrrc8b
,Lrrn1
,Lrrn3
,Lrrtm1
,Lrrtm3
,Lrrtm4
,Lsamp
,Ltk
,Lum
,Lypd1
,Lypd3
,Lypd6
,Macrod2
,Mafa
,Mag
,Mageh1
,Magi2
,Mal
,Map1a
,Map1lc3b
,Mapk8ip1
,Mapkap1
,Mapt
,Marveld3
,Masp1
,Matn1
,Matn2
,Matn4
,Mb21d2
,Mbnl2
,Mbp
,Mc4r
,Mc5r
,Mcf2
,Mcm10
,Mcm5
,Mcm6
,Mdk
,Mdm1
,Me3
,Megf11
,Mfap4
,Mical3
,Micall1
,Mif4gd
,Mink1
,Mir1199
,Mir1983
,Mkx
,Mmp15
,Mmp16
,Mmp17
,Mmp23
,Mobp
,Mog
,Atp5mpl
,Mpz
,Mrgprf
,Mrps18b
,Msc
,Mtap
,Map4
,Mtmr7
,Mx2
,Mybl1
,Mybpc1
,Mycl
,Mylk3
,Myo1d
,Myrf
,Myt1
,Nap1l5
,Nav2
,Ncald
,Ncam2
,Nceh1
,Ndrg1
,Necab2
,Nefh
,Nefl
,Nell2
,Neo1
,Neu4
,Neurog2
,Nfasc
,Sapcd1
,Ngb
,Nhsl2
,Ninj2
,Nkain1
,Nkx2-2
,Nkx2-2os
,Nkx2-9
,Nkx6-2
,Nlgn3
,Nmnat2
,Nmral1
,Nob1
,Nol3
,Npsr1
,Nptx2
,Nrd1
,Nrg2
,Nrtn
,Ntn1
,Nudt17
,Nudt18
,Nudt8
,Nuf2
,Nup210
,Nxph1
,Odf3l2
,Olfm2
,Olig1
,Olig2
,Omp
,Onecut2
,Opalin
,Opcml
,Osbpl6
,Otud7b
,Pacs2
,Pakap
,Pakap
,Pank3
,Papss1
,Parvb
,Pbk
,Pcbd1
,Pcbp4
,Pcdh15
,Pcdh20
,Pcdh7
,Pcdhb18
,Pcdhb2
,Pcdhb21
,Pcdhb5
,Pcdhb6
,Pcdhb9
,Pcdhgb6
,Pcmtd2
,Pcnx3
,Pcolce
,Pcp4
,Pcsk1n
,Pcyt2
,Pdcd4
,Pde4b
,Pde4d
,Pdgfra
,Pdlim2
,Pdzrn4
,Peli1
,Cpq
,Phf12
,Phf6
,Phlda3
,Phldb1
,Phospho1
,Pid1
,Pigq
,Pigz
,Pik3r3
,Pink1
,Pkd2l1
,Pkia
,Plaat3
,Plcb1
,Plekha1
,Plekhb1
,Plekhh1
,Plekhm1
,Plekhn1
,Plin3
,Plk1
,Plod2
,Plp1
,Plxnb3
,Pnlip
,Podn
,Polg
,Plpp4
,Ppfia3
,Ppfibp1
,Ppfibp2
,Ppm1e
,Ppp1r14a
,Ppp1r14c
,Ppp1r16b
,Ppp2r3a
,Ppp3r2
,Ppp4r4
,Desi1
,Pramel3
,Prc1
,Prelp
,Prepl
,Prickle1
,Prim1
,Prim2
,Prkcb
,Prkcq
,Prkg1
,Prkg2
,Prokr1
,Prph
,Prr11
,Prr16
,Prr18
,Prr5l
,Prss41
,Prss50
,Psip1
,Psrc1
,Pstpip2
,Pter
,Ptger2
,Ptk7
,Ptov1
,Ptpdc1
,Ptprd
,Ptpro
,Pus7
,Pus7l
,Pvalb
,Pycr1
,Qdpr
,Qpct
,R3hcc1
,R3hdm1
,Rab15
,Rab27b
,Rab33a
,Rab37
,Rab39b
,Rab4a
,Rabgap1l
,Rac3
,Racgap1
,Rad51
,Rad54l
,Raet1d
,Ralgps1
,Rap1gap
,Rap1gap2
,Rap2a
,Rapgef1
,Rapgef4
,Rasgrf1
,Rasl12
,Rcn1
,Recql
,Rfc3
,Rftn1
,Rgs6
,Rhbdl2
,Rhou
,Rhpn2
,Rictor
,Rimbp3
,Ripply2
,Rlbp1
,Rnd2
,Rnf122
,Rnf128
,Obi1
,Rnf220
,Rnf43
,Rnf7
,Rock1
,Rogdi
,Rprm
,Rras2
,Rrm1
,Rrm2
,Rsad2
,Rtkn
,Runx2
,Rxrg
,Ryr3
,S100a1
,S100a13
,S100a14
,S100a16
,S100a3
,S100a4
,S1pr5
,Samd4b
,Sapcd2
,Scd1
,Scd3
,Scel
,Scfd2
,Scn1a
,Scrg1
,Sdc3
,Sdr42e1
,Secisbp2l
,Sema3e
,Sema4d
,Sema4f
,Sema5a
,Sema6a
,Septin4
,Septin8
,Serinc2
,Serpina3n
,Serpinb1a
,Serpind1
,Serpine2
,Sgcd
,Sgcz
,Sgk2
,Sh3bp4
,Sh3d19
,Sh3gl3
,Sh3rf1
,Shc4
,Shisa7
,Shroom2
,Shroom3
,Sike1
,Sirt2
,Sis
,Six4
,Slain1
,Slc12a2
,Slc13a4
,Slc16a8
,Slc1a1
,Slc22a21
,Slc22a23
,Slc22a3
,Slc22a6
,Slc24a4
,Slc25a1
,Slc25a13
,Slc27a3
,Slc27a6
,Slc2a13
,Slc35f1
,Slc41a2
,Slc44a1
,Slc44a2
,Slc45a3
,Slc48a1
,Slc4a1
,Slc4a8
,Slc5a11
,Slc6a13
,Slc6a19
,Slco3a1
,Slitrk1
,Slitrk3
,Slitrk4
,Slpi
,Smarcb1
,Smoc1
,Smtnl2
,Smyd2
,Sncb
,Snora17
,Snora34
,Sntg1
,Snx11
,Snx15
,Snx22
,Snx25
,Snx30
,Snx32
,Sorcs3
,Sox10
,Sox2ot
,Sox3
,Sox6
,Sox8
,Sp7
,Spa17
,Spc24
,Speer4b
,Spin2c
,Spon1
,Spsb1
,Spsb4
,Srd5a1
,Srpk3
,Srpx2
,Ssh3
,Sstr1
,Sstr3
,St18
,St8sia1
,Stam
,Steap1
,Stk32a
,Stk33
,Stk39
,Stmn4
,Strn
,Stx1b
,Stxbp6
,Sulf1
,Sulf2
,Syce2
,Sycp3
,Syde2
,Synj2
,Synpo
,Syt2
,Syt3
,Sytl5
,Szt2
,Tacc2
,Taf9b
,Tbc1d14
,Tbc1d19
,Tbc1d22b
,Tbc1d23
,Tbc1d5
,Tbc1d8
,Tbc1d9b
,Tbx18
,Tceal3
,Tceal5
,Tcf7l2
,Tcfl5
,Tdrd7
,Itpr3
,Tfeb
,Tgoln1
,Tgoln2
,Tm7sf3
,Tmcc1
,Tmcc3
,Tmem100
,Tmem108
,Tmem121
,Tmem132b
,Tmem132c
,Tmem132d
,Tmem132e
,Tmem151a
,Tmem163
,Tmem179
,Tmem196
,Cemip2
,Tmem200b
,Tmem26
,Tmem40
,Tmem9
,Tmf1
,Tmod1
,Tmprss5
,Tnfrsf13c
,Tnpo1
,Tnr
,Tns3
,Tpd52l2
,Tpm1
,Tppp
,Tppp3
,Tpx2
,Traf4
,Trak2
,Trf
,Trim27
,Trim67
,Trp53inp2
,Tsga13
,Tshz3
,Tspan2
,Tspo2
,Ttc30a2
,Ttl
,Tub
,Tubb4a
,Tyw5
,Ubap1
,Ube2j2
,Ubl3
,Ubr3
,Ucn
,Ugdh
,Ugt8a
,Uhrf1
,Unc80
,Uri1
,Urm1
,Usp16
,Usp24
,Usp32
,Usp54
,Ust
,Utp14b
,Vamp1
,Vat1l
,Vcan
,Vipr2
,Vldlr
,Vmp1
,Vps13b
,Vsnl1
,Vstm2b
,Wasf1
,Wdhd1
,Wfikkn1
,Ccn6
,Wnt10a
,Wnt4
,Wnt6
,Xkr5
,Xpo6
,Xrcc3
,Xylt1
,Ythdc2
,Rtl4
,Zcchc17
,Zcchc24
,Zdhhc14
,Zdhhc15
,Zdhhc2
,Zdhhc23
,Zfhx4
,Zfp365
,Zfp41
,Zfp462
,Zfp579
,Zfp648
,Zfp651
,Zfp791
,Zfp932
,Zfp276
,Zfp281
,Zfp579
,Zzef1
,Septin5
,Ggact
,A3galt2
,A4galt
,AA467197
,Uqcc3
,AU021092
,AW112010
,Abca4
,Abcb1a
,Abcb1b
,Abcc4
,Abcc6
,Abcc9
,Abcg2
,Ablim1
,Acacb
,Ace2
,Acer2
,Acnat1
,Acot10
,Acot9
,Acss3
,Acta2
,Actn1
,Actn4
,Actr3
,Acvrl1
,Adam10
,Adamts8
,Adamts9
,Adamtsl2
,Adcy4
,Adh1
,Adipor1
,Adm
,Adora2a
,Afap1l1
,Agfg1
,Ahnak
,Ahr
,Slc45a2
,Akap12
,Pakap
,Akr1c14
,Aldh1a7
,Alkbh2
,Alox12
,Amdhd1
,Ammecr1
,Angpt2
,Angptl4
,Ankrd37
,Ano1
,Ano6
,Anpep
,Antxr2
,Anxa1
,Anxa11
,Anxa2
,Anxa3
,Anxa5
,Anxa6
,Anxa7
,Aoc3
,Apbb2
,Apcdd1
,Apln
,Aplnr
,Apoa1
,Apol8
,Apold1
,Apool
,Aqp11
,Arhgap18
,Arhgap28
,Arhgap29
,Arhgef15
,Arhgef5
,Arid5a
,Arl4a
,Armc10
,Arpc3
,Art3
,Asb4
,Ascc3
,Aspn
,Atox1
,Atp10a
,Atp10d
,Atp11c
,Atp13a5
,Atp7a
,Avpi1
,B3gnt2
,Helz2
,Ginm1
,Smco4
,Ccm2l
,BC028528
,BC039771
,Bag2
,Bambi
,Bcam
,Bche
,Bcl10
,Bcl6b
,Bend5
,Best1
,Bgn
,Bmpr2
,Bmx
,Bnip2
,Bnip3l
,Bok
,Bpifb1
,Bsg
,Bspry
,Btbd7
,Btf3
,C1qtnf9
,C8g
,Cald1
,Calml4
,Calr3
,Calu
,Capg
,Capn12
,Car4
,Car5a
,Card10
,Casp12
,Casp6
,Casp7
,Casp8
,Casq2
,Cast
,Cav1
,Cav2
,Ackr4
,Ccdc125
,Ccdc126
,Ccdc141
,Efcc1
,Bicdl2
,Ccdc85a
,Ccl19
,Ccl20
,Ccng2
,Ccnjl
,Ccr10
,Noct
,Cd109
,Cd151
,Cd248
,Cd27
,Cd2ap
,Cd300lg
,Cd320
,Cd34
,Cd40
,Cd55
,Cd59a
,Cd69
,Cd93
,Adgre5
,Cdc42ep3
,Cdc42ep5
,Cdhr4
,Cdh5
,Cdhr4
,Cdk1
,Cdkn1c
,Cdkn2a
,Cdkn2b
,Cdkn3
,Ceacam1
,Cebpd
,Ces2b
,Ces2e
,Ces2g
,Cfi
,Cgnl1
,Chek2
,Chic2
,Chmp2b
,Chrnb1
,Chst9
,Cish
,Cks1b
,Cks2
,Clca2
,Cldn5
,Cldn6
,Clec14a
,Clec1a
,Clec1b
,Clec2d
,Clec9a
,Clic5
,Clic6
,Clint1
,Cmtm8
,Cngb1
,Cnn2
,Cnot6l
,Cobll1
,Col14a1
,Col18a1
,Col28a1
,Col4a1
,Col4a2
,Col4a3
,Cox4i2
,Cox7b
,Cpa1
,Cr1l
,Crem
,Crip2
,Crispld1
,Crk
,Crtap
,Crybb3
,Crybg3
,Ybx3
,Csf3
,Csrp2
,Cthrc1
,Ctla2a
,Ctla2b
,Ctnna1
,Ctnnb1
,Ctsw
,Cttnbp2nl
,Cutc
,Cxcl1
,Cxcl11
,Cxcr4
,Cyp2d13
,Cyp2d22
,Cyp2d9
,Cyp39a1
,Cyp8b1
,Cysltr2
,Cytl1
,Cyyr1
,Lurap1l
,Dab2
,Dapl1
,Dbh
,Dcbld1
,Ddi2
,Ddx10
,Ddx58
,Def6
,Degs2
,Dennd2c
,Dennd3
,Dennd5b
,Dera
,Des
,Dgka
,Dgkh
,Dhx40
,Dlc1
,Dleu2
,Dll4
,Dmgdh
,Dnah6
,Dnajc10
,Dnajc2
,Dnase1l1
,Dnmt3b
,Dok4
,Dpp4
,Dram2
,Dtx3l
,Dusp22
,Dusp23
,Dusp6
,Dysf
,E2f7
,Ebf1
,Ece1
,Ecm1
,Ecm2
,Ecscr
,Edn3
,Eef1a1
,Efna1
,Egfl7
,Egfl8
,Egflam
,Ehd2
,Eif3e
,Eif3h
,Eif3m
,Elf1
,Elk3
,Elk4
,Adgrl4
,Emcn
,Emp1
,Endou
,Eng
,Enox2
,Enpep
,Enpp3
,Epas1
,Ephb4
,Epor
,Eps8l2
,Erg
,Erich1
,Esam
,Esm1
,Esyt1
,Esyt2
,Etl4
,Ets1
,Ets2
,Exoc3l
,Exoc5
,Exoc6
,F2r
,F2rl1
,F2rl3
,F5
,Ubald2
,Rflna
,Rflnb
,Fam111a
,Tcaf2
,Fam124b
,Niban1
,Fam13a
,Fam162b
,Eva1b
,Fam187b
,Gask1b
,Piezo2
,Fam43a
,Nxpe2
,Gm9027
,Ripor1
,Fam71a
,Fam71f2
,Eef2kmt
,Fap
,Far2
,Fbln5
,Fbxl12
,Fbxl22
,Fbxl8
,Fcho2
,Fem1c
,Fermt2
,Fgd5
,Fgfbp1
,Fgfr4
,Filip1
,Filip1l
,Fkbp10
,Fkbp7
,Fkbpl
,Fli1
,Flna
,Flnb
,Flrt2
,Flt1
,Flt4
,Fn1
,Fndc1
,Foxc1
,Foxf1
,Foxf2
,Foxl2
,Foxl2os
,Foxp1
,Foxq1
,Frem1
,Frk
,Frmd4b
,Fut4
,Timm10b
,Fxyd5
,Fzd4
,Fzd6
,G6pc
,Gabpb1
,Gadd45a
,Galnt15
,Galnt18
,Gata2
,Gata3
,Gbe1
,Gbp2
,Gbp4
,Gbp5
,Gbp9
,Gchfr
,Gcnt2
,Myzap
,Gdpd3
,Gimap1
,Gimap4
,Gimap5
,Gimap6
,Gimap8
,Gimap9
,Gipc3
,Gja4
,Gja5
,Gjc1
,Gkn3
,Glipr2
,Glyatl3
,Gmnn
,Gng11
,Gng5
,Golim4
,Gpcpd1
,Gpihbp1
,Adgrf5
,Adgra2
,Adgrg6
,Gpr143
,Slc52a2
,Gper1
,Gpr4
,Adgrg3
,Gprc5a
,Grasp
,Grb10
,Grb7
,Grcc10
,Grk5
,Grp
,Grrp1
,Gsta4
,Gstm2
,Gstt2
,Gt(ROSA)26Sor
,Gtf2e2
,Gypc
,H2-D1
,H2-Q4
,H2-T10
,Haus1
,Hbp1
,Hdac7
,Heg1
,Heph
,Hhex
,Hic1
,Higd1b
,H2ac11
,H3c3
,Hmcn1
,Hmg20b
,Hmgcs2
,Hmgn5
,Hopx
,Hprt
,Hrct1
,Hsd3b7
,Hsf4
,Hspa12b
,Hspb1
,Hspb2
,Hspb8
,Hspg2
,Htr2a
,Htra3
,Hyal2
,Icam2
,Ier5l
,Ifi44
,Ifi47
,Ifih1
,Ifitm1
,Ifitm2
,Ifitm3
,Lmntd1
,Ifnar1
,Igbp1
,Igf1r
,Igfbp1
,Igfbp7
,Igsf5
,Iigp1
,Il13ra1
,Il15
,Il17rc
,Il17re
,Il1r1
,Il20rb
,Il27ra
,Il2rg
,Il3ra
,Il6
,Impdh1
,Insl3
,Insr
,Ipmk
,Iqcg
,Iqgap1
,Irf7
,Irf9
,Irx3
,Ism1
,Isyna1
,Itga1
,Itga2b
,Itga4
,Itgb1
,Itgb3bp
,Itm2a
,Itpr1
,Itprip
,Itsn2
,Jag1
,Jag2
,Jak2
,Ajuba
,Kank3
,Kank4
,Kcna5
,Kcne3
,Kcng2
,Kcnj14
,Kcnj15
,Kcnj2
,Kcnj8
,Kcnk5
,Kcnmb1
,Kcnq1
,Kcnrg
,Kcp
,Kctd10
,Kctd12b
,Kdr
,Kif26a
,Kitl
,Klf11
,Klhl4
,Klrg1
,Krtap9-1
,Kti12
,Lalba
,Lama1
,Lama4
,Lama5
,Lamb1
,Lamb2
,Lamc1
,Lbp
,Ldha
,Ldlrad3
,Lef1
,Lepr
,Lims1
,Lipc
,Lipo1
,Lipt2
,Lmbr1
,Lmo2
,Lnx2
,Loxl2
,Loxl4
,Lpar6
,Adgrl2
,Lrp8
,Lrrc18
,Lrrc32
,Lrrc55
,Lrrc8c
,Naa38
,Lsr
,Lta4h
,Ltbp4
,Luzp1
,Ly6a
,Ly6c1
,Ly6c2
,Ly6g5c
,Ly6i
,Ly75
,Lypd2
,Lypla1
,Lysmd3
,Lzts1
,Madcam1
,Magix
,Mall
,Malt1
,Mamstr
,Man2a1
,Mansc1
,Maoa
,Map4k2
,Mapk12
,Marveld1
,Marveld2
,Mbd2
,Mecom
,Mef2a
,Megf6
,Meox1
,Tlnrd1
,Mfsd2a
,Mfsd6l
,Flvcr2
,Mgp
,Mgst2
,Mill2
,Mipol1
,Mir1192
,Mir703
,Mrtfb
,Mlkl
,Afdn
,Mmp25
,Mmp28
,Mmrn1
,Mmrn2
,Mogat2
,Mospd1
,Mpp1
,Mpp7
,Mprip
,Msmp
,Msrb3
,Msx1
,Msx1os
,Msx3
,Mtfr1
,Mtmr6
,Mtus1
,Muc13
,Mustn1
,Mxra7
,Myct1
,Myh10
,Myl12b
,Myl4
,Myl6
,Myl9
,Mylk
,Mylpf
,Myo1b
,Myo1e
,Myof
,N4bp3
,Naalad2
,Nampt
,Ncaph
,Nck1
,Ndufa4l2
,Nes
,Net1
,Nid1
,Nid2
,Nlrc3
,Nme2
,Nmi
,Nod1
,Nodal
,Nomo1
,Nos2
,Nos3
,Nostrin
,Notch4
,Notum
,Nox4
,Noxo1
,Npm1
,Npr1
,Npr3
,Nr1h3
,Nrbp1
,Nrip1
,Nrp1
,Nsa2
,Nsmce1
,Nt5dc1
,Nubpl
,Nudt14
,Nup37
,Nxn
,Oas1a
,Oas1b
,Oas1c
,Oaz2-ps
,Ocln
,Odc1
,Odf3b
,Ofd1
,Ogn
,Olfr1372-ps1
,Olfr1373
,Olfr520
,Olfr56
,Osbpl9
,Osmr
,Ostc
,P2ry14
,Pak1ip1
,Palmd
,Papln
,Paqr5
,Pard6g
,Parp9
,Pawr
,Pcdh1
,Pcdh12
,Pcdh19
,Pcdhgb8
,Pcp4l1
,Pdcd10
,Pde2a
,Pde5a
,Pde7b
,Pdgfd
,Pdia5
,Pdlim1
,Pear1
,Pecam1
,Pglyrp1
,Pgm1
,Pgm5
,Phactr2
,Phactr4
,Phf7
,Phldb2
,Pik3r6
,Pip5k1a
,Pip5k1b
,Pir
,Pkn3
,Pla1a
,Pla2g2f
,Plac9a
,Plekhg5
,Plekhh2
,Plk2
,Plp2
,Pls3
,Pltp
,Plvap
,Plxnd1
,Pmaip1
,Pnpla6
,Pnrc2
,Podxl
,Polk
,Polr2k
,Pomc
,Pomp
,Pop5
,Pou2af1
,Plpp6
,Ppef1
,Ppic
,Ppm1j
,Ppp1cc
,Ppp1r13b
,Ppp1r2
,Slc66a2
,Pramef8
,Prcp
,Prelid2
,Prep
,Prex2
,Prickle3
,Cavin3
,Prkch
,Prkd2
,Prnd
,Procr
,Prom1
,Prop1
,Prrg2
,Psma8
,Psmc3ip
,Psors1c2
,Ptges
,Ptgfrn
,Ptgis
,Ptgs2
,Ptpn12
,Ptprb
,Ptprg
,Ptprk
,Ptprm
,Cavin1
,Pvr
,Rab11fip1
,Rab12
,Rab13
,Rab42
,Rab29
,Rad51ap1
,Rad51b
,Rai14
,Raly
,Ramp2
,Rap1b
,Rapgef5
,Rapgef6
,Rasd1
,Rasgrp3
,Rasip1
,Rassf1
,Rassf3
,Rassf9
,Rbms2
,Rbp1
,Rbp7
,Rbpms
,Rd3
,Rdm1
,Rec8
,Rem1
,Ret
,Rgl1
,Rgs12
,Rgs3
,Rgs5
,Rhobtb1
,Rhoc
,Rhod
,Rhoj
,Ripk1
,Ripply3
,Rmnd5b
,Rnaseh2c
,Rnf125
,Rnf144b
,Rnf183
,Rnf19a
,Robo4
,Rock2
,Ptbp3
,Rpap3
,Rpf1
,Rph3al
,Rpl17
,Rpl22l1
,Rpl23
,Rpl23a
,Rpl27
,Rpl31
,Rpl34
,Rpl35
,Rpl37
,Rpl38
,Rpl39
,Rpl4
,Rprl3
,Rps16
,Rps18
,Rps24
,Rps27
,Rps27l
,Rps6ka3
,Rps7
,Rpsa
,Rras
,Rtp3
,Rtp4
,Rxfp4
,S100a11
,Samd9l
,Sav1
,Scarb1
,Scarf1
,Scgb3a1
,Sdcbp
,Sdcbp2
,Cavin2
,Sec61b
,Sec61g
,Sectm1a
,Sele
,Selp
,Sema3g
,Sema4c
,Sema7a
,Selenop
,Septin1
,Septin10
,Serpina1a
,Serpina1b
,Serpina1c
,Serpina1e
,Serpina3f
,Serpina3g
,Serpina3h
,Serpina3i
,Serpinb6a
,Serpinb6b
,Serpinb6c
,Serpinb9
,Serpinb9b
,Serpinh1
,Sertad1
,Sestd1
,Sgms1
,Sgms2
,Sgpp2
,Sh3bgr
,Sh3bgrl
,Sh3bp5
,Sh3tc2
,She
,Sem1
,Shroom1
,Shroom4
,Sigirr
,Slain2
,Slc16a1
,Slc16a11
,Slc16a13
,Slc16a2
,Slc16a4
,Slc16a9
,Slc19a3
,Slc22a18
,Slc22a8
,Slc23a3
,Slc25a20
,Slc25a24
,Slc26a10
,Slc2a1
,Slc30a1
,Slc31a1
,Slc31a2
,Slc35b3
,Slc35d2
,Slc35f2
,Slc38a11
,Slc38a2
,Slc38a5
,Slc39a10
,Slc39a8
,Slc3a2
,Slc40a1
,Slc43a3
