blue.gene7,Usp32
blue.gene8,Gabrb2
blue.gene9,Zyg11b
blue.gene10,Dpp8
blue.gene11,Frrs1l
blue.gene12,Fam168a
blue.gene13,Snx13
blue.gene14,Nbea
blue.gene15,Pja2
blue.gene16,Arfgef1
blue.gene17,Ash1l
blue.gene18,Wdr7
blue.gene19,Myo5a
blue.gene20,Akap11
blue.gene21,Gm10031
blue.gene22,Ncam2
blue.gene23,Dnajc5
blue.gene24,Kpna1
blue.gene25,Reps2
cyan.gene1,Ogn
cyan.gene2,Omd
cyan.gene3,Fmod
cyan.gene4,Slc6a13
cyan.gene5,Slc6a20a
cyan.gene6,Bmp7
cyan.gene7,Slc13a4
cyan.gene8,Aldh1a2
cyan.gene9,Tbx18
cyan.gene10,Gjb2
cyan.gene11,Slc22a8
cyan.gene12,Dcn
cyan.gene13,Sphk1
cyan.gene14,Wfikkn2
cyan.gene15,Aebp1
cyan.gene16,Fam180a
cyan.gene17,Ptgds
cyan.gene18,Gpr182
cyan.gene19,Myoc
cyan.gene20,Hcar1
cyan.gene21,Ranbp3l
cyan.gene22,Lum
cyan.gene23,Igf2
cyan.gene24,Fibin
cyan.gene25,Slc9a2
yellow.gene1,Mag
yellow.gene2,Tspan2
yellow.gene3,Ermn
yellow.gene4,Efhd1
yellow.gene5,Ttyh2
yellow.gene6,Galnt6
yellow.gene7,Il33
yellow.gene8,Trf
yellow.gene9,Padi2
yellow.gene10,Tmem88b
yellow.gene11,Rnf13
yellow.gene12,Cldn11
yellow.gene13,Mog
yellow.gene14,Cdc42ep2
yellow.gene15,Prr5l
yellow.gene16,Fa2h
yellow.gene17,Tmem125
yellow.gene18,Adamtsl4
yellow.gene19,Frmd8
yellow.gene20,Rassf2
yellow.gene21,Myrf
yellow.gene22,Tmem63a
yellow.gene23,Lap3
yellow.gene24,Olig1
yellow.gene25,Gatm
black.gene1,Serping1
black.gene2,Anxa2
black.gene3,Emp3
black.gene4,Dab2
black.gene5,Myof
black.gene6,Col4a6
black.gene7,Tnfrsf1a
black.gene8,Hacd4
black.gene9,Lamb2
black.gene10,Serpinf1
black.gene11,Cd151
black.gene12,Rbp1
black.gene13,S100a11
black.gene14,Hspb8
black.gene15,Pdpn
black.gene16,Nxn
black.gene17,Ifitm3
black.gene18,Csf1
black.gene19,Ifitm1
black.gene20,Ggta1
black.gene21,Anxa3
black.gene22,Mmp14
black.gene23,Lgals3bp
black.gene24,Fcgrt
black.gene25,Anxa4
pink.gene1,Zcchc24
pink.gene2,Slc1a3
pink.gene3,Acot11
pink.gene4,Wasf2
pink.gene5,Axl
pink.gene6,Rab31
pink.gene7,Slc41a1
pink.gene8,Stat3
pink.gene9,Endod1
pink.gene10,Itprid2
pink.gene11,Pygb
pink.gene12,Cpt1a
pink.gene13,Myo10
pink.gene14,Slc29a3
pink.gene15,Paqr8
pink.gene16,Tor1aip1
pink.gene17,Atp1b2
pink.gene18,Acox1
pink.gene19,Fam107a
pink.gene20,Gpr146
pink.gene21,Aldh6a1
pink.gene22,Calu
pink.gene23,Gja1
pink.gene24,St6gal1
pink.gene25,Lrrc58
magenta.gene1,Selenop
magenta.gene2,Ctss
magenta.gene3,Itgb5
magenta.gene4,Ncf1
magenta.gene5,Pon2
magenta.gene6,Hepacam
magenta.gene7,C1qb
magenta.gene8,Dhrs1
magenta.gene9,C1qc
magenta.gene10,Zbtb7b
magenta.gene11,Pgm1
magenta.gene12,Hvcn1
magenta.gene13,Itgb2
magenta.gene14,Mlc1
magenta.gene15,Vav1
magenta.gene16,Hexb
magenta.gene17,Ucp2
