Gene Symbol,Negative logP
PFKFB2,1.714870445
SYMPK,3.689094371
HOXD3,2.418232331
SMOX,2.840854072
NPEPPS,3.16594189
CAPZB,1.761351825
ZNRD1,1.723354406
AKAP10,1.742537426
PAPSS1,2.178742014
CRYM,1.30855601
GRIN3B,2.713902971
AGXT2,1.895547033
SNX27,1.919662177
MAP3K20,2.12386302
TAT,2.487782695
DMRT1,1.622566248
RGS16,1.969238409
CCNE2,1.900733828
PKP4,2.27358253
SLC2A5,2.024168549
ELL,4.507546938
PTPN23,1.56158424
SMPD2,1.47233144
MCC,1.520251985
PTPRE,1.942676295
TUBB2B,1.747875447
SV2A,1.448916135
IFNA13,1.768912879
SHOC2,3.162670448
ACBD3,1.414810084
MSH5,1.997963598
NUB1,1.451352662
IFNA10,1.46459194
DNAH5,2.525987815
CERK,2.039020544
ARHGAP45,7.32444161
SRPK2,1.619824951
CHRNA9,2.388128059
SH2D2A,1.832151201
MARK3,2.408501315
ORAI3,1.855145693
OAS2,3.670175156
MTMR2,1.986025823
CYP51A1,1.426803379
TMC8,1.384628692
MEIS2,1.806903242
MATN1,2.375986197
DUSP10,1.37788964
STH,1.683777963
CD8B,2.052880103
TMEM230,2.187333928
FIG4,1.987458027
ZPR1,2.105163539
IQGAP2,1.734144886
RPS8,2.092346835
RPL13A,1.482526981
OAS3,3.136819945
VAC14,4.632457726
PGM3,1.357159715
ETFB,1.434553617
RSPO2,3.186672591
DAPK2,2.419394308
IFNA14,1.739690054
G0S2,1.309750744
MEPE,1.337525496
MTCH2,4.884888964
GABPB1,2.540381376
RRBP1,2.164214338
UCN2,1.919914915
SAR1A,1.837286274
IPMK,3.184588298
RGS9,1.427848949
TPBG,1.571589808
DLX2,1.459370252
ADGRB1,1.684701547
BCAR3,1.471108998
NOP2,2.740573373
RPS11,1.741099443
KANSL1,1.690029343
RGMA,1.628119751
SIGLEC5,1.92277749
ELF5,1.788212237
SUPT4H1,5.256223783
CNMD,1.99161277
THOC1,1.516883622
ARL2,2.237006518
ARPC1B,2.104450389
SRSF10,1.383524486
HBZ,1.998179783
BBS2,2.058195493
IFNA5,1.553975715
UQCRC1,1.844269329
NOP58,1.428384324
LMTK2,1.77866402
EXTL3,2.149163917
INVS,1.897943807
HOXD9,1.655607726
KLB,1.468150813
B3GLCT,1.333351002
KIF15,1.621765672
INSRR,1.65284569
RPL14,1.673500285
RNF5,2.174944067
PDZK1IP1,2.108484843
MRPL58,4.196508743
ABCB9,2.402337716
CDCA5,1.602285883
GPR4,1.527024265
PIK3C2G,1.642579754
RAB22A,1.589037282
TRIM44,1.306448914
DDX41,2.069183365
IFNA16,1.554255724
MYL1,1.898803014
OPA3,1.376254656
MARK1,1.953856159
SLC25A11,1.852787583
IFNA6,1.974489327
MT1E,1.812112822
TNIP2,1.619210085
MARK4,6.515799846
IFNA7,1.344506204
ALKBH2,1.608218315
LTBP3,1.46854663
TRIM3,3.305166747
SPRED2,2.975473286
TRIOBP,2.286291105
CBLC,13.53372568
CLEC12A,1.40836784
MED13,2.693553526
LRIG3,1.757980635
OSBPL1A,1.382182193
SOCS5,1.524881109
CTNNAL1,1.914816492
SLA,2.295231954
PDS5A,1.403831913
UGT2B10,1.414437759
CLPS,1.313819711
FMNL2,1.656946077
DLGAP1,1.686048459
MYT1L,1.518786762
ACADL,2.249599614
CRNN,1.454618652
CCNY,1.932111193
ARF5,2.744052451
CD3EAP,1.386623365
LPO,1.781123285
YTHDC1,1.6483003
ITGA8,1.404978013
CPSF4,1.760400248
HIVEP1,1.627621992
